candidate_id,public_name_or_handle,public_role_org_if_explicit,source_url,source_date,job_evidence,recurrence_evidence,likely_role,product_fit_note,capability_risk,diversity_cell,reachability_route,personalized_hook,recommended_ask,need_0_5,fit_0_5,reach_0_5,recurrence_learning_0_5,diversity_0_5,weighted_score,priority_wave,authorization_status
DP-11,author of E-033 support decision-tree thread,support lead (call-center context),see 01_evidence_log.csv E-033 canonical_url,historical,wanted question-driven trees for support calls; hand-built page flows,described ongoing manual process,creator/buyer,JTBD-05,historical thread — verify currency,support persona,Atlassian Community profile via thread,their hand-built linked-page flows,walkthrough of current flow,3,5,2,3,3,3.40,2,DISCOVERY ONLY — DO NOT CONTACT
DP-12,author of E-018 database-chart ask,unknown,see 01_evidence_log.csv E-018 canonical_url,recent,wants charts over Confluence database data,active native-feature gap,creator,LOW fit today (needs Confluence data read),JTBD-09 disqualifier,data/PM persona,Atlassian Community profile via thread,—,exclude from outreach; monitor only,3,1,2,2,3,2.30,exclude,DISCOVERY ONLY — DO NOT CONTACT
DP-13,author of E-052 OAuth-dashboards post,unknown,see 01_evidence_log.csv E-052 canonical_url,2023-ish,per-viewer authorized dashboards in Confluence,built bespoke integration,creator,NO fit (authenticated external data),hard disqualifier (JTBD-08),unknown,thread,—,exclude from outreach,4,0,2,2,2,1.90,exclude,DISCOVERY ONLY — DO NOT CONTACT
DP-14,Natalia Malesa,unknown (personal blog),https://nataliamalesa.com/blog/mastering-grafana-panels-with-iframes-1764806897,2025-12,published on embedding Grafana iframe panels incl. Confluence contexts,blog maintained,champion,JTBD-08-adjacent — LOW fit today; useful as embed-pain informant,live-data disqualifier,practitioner blogger,personal blog contact,her Grafana-iframe writeup,expert conversation on embed pain (not product test),3,2,4,3,3,2.90,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-15,Alex Ortiz (linkedin.com/in/alexortiz89),unknown,https://www.linkedin.com/posts/alexortiz89_embedder-for-confluence-review-activity,unknown,publicly reviews Confluence embedding apps,unknown,champion,category reviewer — comparison insight,none,reviewer persona,LinkedIn profile,his public embed-app review,20-min category conversation,3,3,4,3,3,3.15,2,DISCOVERY ONLY — DO NOT CONTACT
DP-16,Savio David,unknown,https://www.linkedin.com/pulse/macros-confluence-savio-david,unknown,writes practitioner articles on Confluence macros/embedding,two Pulse articles observed,champion,category educator,none,practitioner author,LinkedIn author profile,his macros-for-Confluence article,category conversation + early look,2,3,4,3,3,2.80,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-17,Oskar Austegard,unknown,https://www.linkedin.com/pulse/user-macro-embedding-jira-issue-collectors-confluence-,unknown,hand-built a user macro to embed interactive content,single article observed,creator,user-macro persona (JTBD-12),Server-era technique,developer author,LinkedIn author profile,his hand-built embed macro,check current workflow,2,3,4,2,3,2.70,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-18,Damien Lauberton,unknown,https://www.linkedin.com/pulse/spaces-administration-macro-confluence-damien-lauberton,unknown,writes on extending Confluence via macros (admin angle),unknown,admin,admin-perspective informant,none,admin author,LinkedIn author profile,his admin-macros article,admin-perspective interview,2,2,4,2,4,2.60,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-19,Subramanyam Gunda,unknown,https://www.linkedin.com/pulse/exploring-confluence-navigation-macros-subramanyam-gunda,unknown,publishes practitioner content about Confluence macros,unknown,champion,category educator,none,practitioner author (geo diversity),LinkedIn author profile,his macros article,category conversation,2,2,4,2,4,2.60,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-20,author of E-096 iframe-height thread,unknown,see 01_evidence_log.csv E-096 canonical_url,recent,embed height/double-scrollbar breakage on an interactive embed,unknown,creator,JTBD-02 pain informant; sizing is a product-quality bar,low,unknown,Atlassian Community profile via thread,their height-breakage report,verify our sizing story vs their case,3,3,2,2,2,2.60,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-21,author of E-026 conditional-content thread,unknown,see 01_evidence_log.csv E-026 canonical_url,recent,wants dropdown-conditional display on a page,unknown,creator,JTBD-13/05,may be served by Expands (counter E-043),unknown,Atlassian Community profile via thread,their adaptive-page ask,problem interview,3,3,2,2,2,2.60,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-22,author of E-047 React-static-export thread,unknown,see 01_evidence_log.csv E-047 canonical_url,unknown,has React UI exported as static HTML; wants it in Confluence,unknown,creator,JTBD-01 exact,none,frontend dev persona,Atlassian Community profile via thread,their React-export ask,artifact walkthrough,4,5,2,2,3,3.45,1,DISCOVERY ONLY — DO NOT CONTACT
DP-23,author of E-121 security-evaluation thread,Confluence admin (security evaluation),see 01_evidence_log.csv E-121 canonical_url,historical,evaluated whether HTML/JS macros are acceptable risk,unknown,admin (gatekeeper),NOT a user-partner — trust-research informant,n/a,security/admin persona,Atlassian Community profile via thread,their risk-evaluation questions,security-model feedback session (no sale),2,2,2,5,5,2.95,2,DISCOVERY ONLY — DO NOT CONTACT
DP-24,author of E-137 approval-friction thread,Confluence admin,see 01_evidence_log.csv E-137 canonical_url,recent,hit errors approving a requested paid Marketplace app,unknown,admin,install-funnel informant,n/a,admin persona,Atlassian Community profile via thread,their approval-flow pain,approval-journey interview,2,2,2,4,4,2.60,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-25,HN author of item 48275936,unknown,https://news.ycombinator.com/item?id=48275936,recent,"exasperated ask: why is deploying plain static HTML so hard (E-109)",unknown,creator,JTBD-01/15 generic slice; Confluence unknown,may prefer public hosting,indie/dev persona,HN profile,their deploy-plain-HTML complaint,workflow interview,4,3,3,2,3,3.15,2,DISCOVERY ONLY — DO NOT CONTACT
DP-26,HN commenter of item 47810597,unknown,https://news.ycombinator.com/item?id=47810597,recent,"can't hand a colleague a link to an AI-built tool — 'really annoying' (E-110)",unknown,creator,JTBD-15 exact (generic platform),Confluence usage unknown,AI-user persona,HN profile,their share-with-colleague frustration,20-min problem interview,4,3,3,2,3,3.15,2,DISCOVERY ONLY — DO NOT CONTACT
DP-27,om_patel5 (X),unknown,https://x.com/om_patel5/status/2081494782396747779,recent,flagged public-URL exposure of AI-built team apps (E-112),unknown,champion,JTBD-15 trust angle,second-hand commentary,security-aware persona,X profile,their exposure-incident thread,perspective interview,3,3,3,2,3,2.85,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-28,author of qaq-p/1318974 (HTML macro on cloud),unknown,https://community.atlassian.com/forums/Confluence-questions/HTML-macro-on-confluence-cloud/qaq-p/1318974,historical,asked whether the HTML macro exists on Cloud (D-05),cross-found by 3 collectors — high-visibility ask,creator,JTBD-02,historical,unknown,Atlassian Community profile via thread,the canonical where-is-my-HTML-macro ask,check if need persists,2,3,2,2,2,2.25,reserve,DISCOVERY ONLY — DO NOT CONTACT
DP-X1,Forge vendor author of qaq-p/3201049 (Connect→Forge gap),Marketplace app vendor,https://community.atlassian.com/forums/Confluence-questions/Forge-migration-gap-No-equivalent-for-Connect-s/qaq-p/3201049,2026-03,deep technical articulation of CSP/iframe constraints (E-003),RFC-136 participation,expert (vendor),EXPERT APPENDIX — excluded from outreach per brief (vendor),n/a,vendor expert,Atlassian Community profile,—,market-expert conversation only,,,,,,,expert-appendix,DISCOVERY ONLY — DO NOT CONTACT
DP-X2,Narva Software / Bitwelt (medium.com/@bitwelt),competing app vendor,https://medium.com/@bitwelt/html-macro-for-confluence-cloud-e36d959e8fe2,unknown,markets competing HTML macro,n/a,vendor,EXCLUDED — direct competitor,n/a,vendor,—,—,—,,,,,,,exclude,DISCOVERY ONLY — DO NOT CONTACT
DP-X3,Aura Apps / Mantra (get-mantra.net),competing app vendor,https://get-mantra.net/meta-to-mantra/,unknown,competitor content network,n/a,vendor,EXCLUDED — direct competitor,n/a,vendor,—,—,—,,,,,,,exclude,DISCOVERY ONLY — DO NOT CONTACT
DP-X4,PGA Consult,competing app vendor,https://www.linkedin.com/products/pgaconsult-html-macro-themes-for-confluence-cloud/,unknown,competing HTML macro product page,n/a,vendor,EXCLUDED — direct competitor,n/a,vendor,—,—,—,,,,,,,exclude,DISCOVERY ONLY — DO NOT CONTACT
DP-X5,Sten Pittet (linkedin.com/in/stenpittet),Tability (adjacent product),https://www.linkedin.com/posts/stenpittet_tability-notion-confluence-embed-goals,unknown,promotes embedding external dashboards in Confluence,n/a,vendor (adjacent),EXPERT APPENDIX — adjacent-vendor perspective on embed distribution,n/a,vendor,LinkedIn,—,market conversation only,,,,,,,expert-appendix,DISCOVERY ONLY — DO NOT CONTACT
