evidence_id,captured_at,source_type,canonical_url,title,published_at,deployment,author_type,public_role,likely_persona,artifact_type,verbatim_excerpt_max_25_words,original_problem_language,normalized_jtbd,trigger,desired_outcome,current_workaround,dissatisfaction,interaction_required,capability_requirements,disqualifiers,solution_mentioned,adoption_or_result,willingness_signal,engagement_metadata,vendor_authored,duplicate_group,qualification_status,exclusion_reason,relevance_0_5,confidence,jtbd_cluster,notes
E-011,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Refused-to-connect-error-in-iFrame/qaq-p/2195947,Refused to connect error in iFrame,unknown,cloud,user,unknown,Confluence Cloud page author embedding SaaS dashboards,counterevidence,website administrators have invoked the x-frame-options response header to prevent browsers from rendering it in an iFrame,refused to connect error in iFrame,"When I embed external content in Confluence via an iframe and get 'refused to connect', I want the content to actually render, so my page isn't a blank box.",embedded an external URL and got a blank/refused frame,external content renders inside the page,http→https swap; domain allowlisting by a Confluence admin; different embed methods,"recurring blank-frame failures across SharePoint, Salesforce, Airtable, Figma, Office365 embeds",unknown,reliable rendering not dependent on the target site's X-Frame-Options,"these users want to frame someone else's live site, not publish their own bundle — Mini Site does not solve X-Frame-Options on third-party domains",Atlassian bug CONFCLOUD-73617 referenced in the thread,partially unresolved; known-bug reference,unknown,search summary noted 'multiple users reporting this problem in 2024'; exact counts not visible,no,,qualified_counterevidence,,4,observed-in-search-snippet,NAT,"Recorded as counterevidence-with-a-twist: it shows the free iframe route is widely attempted and widely fails, but the failure mode (third-party X-Frame-Options) is one Mini Site cannot fix. Useful for scoping the pitch away from 'embed any website'."
E-012,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/How-to-embed-custom-code/qaq-p/1776003,Solved: How to embed custom code,unknown,cloud,user,unknown,Confluence Cloud page author,workaround,"out of the box, your only choice is to take a screenshot of the chart",how to embed custom code (a chart from co2levels.org),"When I want a live chart or custom code output on a Confluence page, I want to embed the code itself, so readers see current data instead of a stale screenshot.",wanted a specific external chart on a page,live embedded chart,screenshot the chart,explicit — the native fallback is a screenshot; users reported some solutions did not fully render the embedded content,live/interactive chart rendering,render third-party embed code with JS,"the target is an externally hosted chart widget, not a self-authored bundle",html-macro-for-confluence-cloud (commercial plugin),pointed at a paid Cloud HTML macro,answer explicitly frames the fix as a commercial plugin purchase,marked Solved,no,,qualified,,4,observed-in-search-snippet,J02,'Take a screenshot' is the honest native baseline and the best available articulation of the status-quo cost. historical=true inferred from thread ID (~1.78M); exact date not observed.
E-013,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/How-to-embed-Interactive-Google-Charts-into-Confluence-Page/qaq-p/618934,How to embed Interactive Google Charts into Confluence Page using html macro,unknown,unknown,user,unknown,analyst / engineer publishing data to a wiki,complaint,"when loading an interactive chart, it shows in preview but the whole page comes up blank when saved",static charts load fine; interactive chart shows in preview but page is blank when saved,"When I embed an interactive JS chart in a Confluence page, I want it to survive save and render for readers, so the interactivity isn't lost between preview and published view.",upgrading from a static chart image to an interactive one,interactive chart renders in the published page,fall back to static charts,"explicit — preview/save divergence, whole page goes blank","JS-driven interactivity (hover, tooltips, drilldown)",JS executes identically in preview and published view; failure of the embed must not blank the host page,none observed,unknown,unknown,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J07,"historical=true inferred from very low thread ID (~619k) — likely pre-2020. Kept despite age because the failure mode (works in preview, blanks the host page on save) is a concrete quality bar for a sandboxed embed product."
E-014,2026-08-02,atlassian_community,https://community.atlassian.com/forums/App-Central-articles/Introducing-HTML-by-Mosaic-for-Confluence/ba-p/3249485,"Introducing HTML by Mosaic, for Confluence",unknown,cloud,vendor,unknown,n/a,counterevidence,The app is designed with separate HTML/CSS/JavaScript tabs which allows different validation and restriction rules to be applied at each layer.,n/a (vendor marketing),"N/A — vendor launch article, recorded as competitive context, not demand.",n/a,n/a,n/a,n/a,n/a,separate HTML/CSS/JS editing; Forge hosting / data residency; sandboxed render,n/a,HTML by Mosaic (Kolekti); Advanced Edition adds JavaScript support; hosted on Forge so no data leaves the Confluence site; rendered in a sandboxed environment,n/a,"paid tiering — JavaScript support gated behind the Advanced Edition, evidence that JS execution is a monetizable upgrade",unknown,yes,,excluded_from_demand,"vendor-authored: competitive/positioning context, not independent demand",2,observed-in-search-snippet,J02,"VENDOR-AUTHORED, NOT DEMAND. Recorded because it is the closest direct competitor positioning found: Forge-hosted, sandboxed, tiered on JS. Key differentiation gap for Mini Site: Mosaic is a paste-code-into-tabs macro (single file, three tabs); Mini Site is a multi-file folder upload. Also relevant: Kolekti blog 'Why isn't there a native HTML macro in Confluence Cloud?' at https://www.kolekti.com/"
E-015,2026-08-02,other,https://community.developer.atlassian.com/t/using-customui-to-show-html-run-javascript-with-forge-ui/54047,"Using customUI to show HTML & run javascript with forge UI (Atlassian Developer Community, Confluence Cloud)",unknown,cloud,unknown,unknown,Forge developer / in-house Atlassian app builder,question,"Using custom UI, you can define your own user interface using static resources, such as HTML, CSS, JavaScript, and images.",using customUI to show HTML and run javascript with Forge UI,"When I need to show arbitrary HTML and run JavaScript inside a Confluence Cloud macro, I want to know whether Forge Custom UI supports it, so I can build the capability myself instead of buying an app.",needs HTML + JS inside a Confluence macro and is evaluating Forge,HTML/JS rendering inside a Forge macro,build it yourself on Forge Custom UI,unknown,JS execution,static HTML/CSS/JS resources; iframe isolation,"developer audience — this segment builds its own Forge app rather than buying; also relevant: Custom UI content inside an iFrame cannot access parent CSS directly (per related thread), and 'Forge Custom UI - Confluence - 403 when requesting static assets' shows asset-serving friction",Forge Custom UI static resources; runs within an iframe providing an isolated environment,answered affirmatively — Forge Custom UI supports static HTML/CSS/JS,counter-signal — this user is willing to build rather than buy,unknown,no,D-07,qualified,,4,observed-in-search-snippet,DIY,"Recorded as partial counterevidence: technically-capable teams can and do self-build this on Forge Custom UI, which bounds the addressable market to non-developers and teams unwilling to maintain a Forge app. Related: https://community.developer.atlassian.com/t/forge-custom-ui-confluence-403-when-requesting-static-assets/60655 and https://community.developer.atlassian.com/t/static-content-macro-in"
E-016,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Interactive-Jira-Dashboard-in-Confluence/qaq-p/2951248,Interactive Jira Dashboard in Confluence,unknown,unknown,user,unknown,Project/program manager or Jira admin reporting status in Confluence,question,Interactive Jira Dashboard in Confluence,interactive Jira dashboard in Confluence,"When I need to report Jira project status on a Confluence page, I want an interactive dashboard readers can drill into, so I can stop pasting stale screenshots.",Needing a Jira dashboard to remain interactive after being placed on a Confluence page,A dashboard on the page that stays interactive (drill-down) rather than a static image,unknown,unknown,"Drill-down into charts/graphs, filtering",interactive charts; drill-down; live Jira issue data,Needs authenticated live Jira data — a static uploaded HTML/JS bundle cannot query Jira without a backend or API credentials,"Dashboard Hub for Confluence (Appfire); Table Filter, Charts & Spreadsheets for Confluence (Stiltsoft); native Smart Links dashboard embed",Answers point to paid Marketplace apps and native Smart Links,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J08,"Excerpt is the thread title — the only user-authored text observable; body blocked (403 on WebFetch, snippets only). High thread ID suggests recent (2025) but date not observed."
E-017,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Can-a-table-auto-update-when-its-attachment-is-replaced-in-Confluence/qaq-p/3092670,Can a table auto-update when its attachment is replaced in Confluence?,unknown,unknown,user,unknown,Analyst/PM maintaining a recurring report page,question,Can a table auto-update when its attachment is replaced in Confluence?,auto-update when its attachment is replaced,"When my source data file changes, I want the table/chart on the Confluence page to refresh itself, so I don't have to re-insert the macro every time.",Replacing/overwriting an attached data file and finding the on-page table unchanged,A page view that always reflects the latest uploaded data without manual macro surgery,"Per the thread answer: standard Excel/CSV macros ""won't refresh automatically when a new version of an attachment is uploaded — they simply embed the file 'as is'"", so the user must remove and reinsert the macro",Manual re-insert of the macro on every data update,"None beyond viewing — the need is refresh, not interaction",data refresh on republish/upload; tabular rendering; chart rendering,None observed for a re-publish-based model; true live auto-refresh from an external source would need network fetch from the bundle,"Table Filter and Charts app; an app that imports CSV/TSV/JSON from URLs, APIs or Google Sheets and ""automatically keeps data updated""",unknown,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J09,"Excerpt is the thread title (user-authored). The workaround sentence is text the search backend surfaced from the thread's answer, not from the asker."
E-018,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-Databases-discussions/Visualisation-of-Confluence-Database-content/td-p/2745784,Visualisation of Confluence Database content,unknown,cloud,user,unknown,Confluence power user / knowledge manager using Databases as a source of truth,feature_request,major feature missing from Confluence Databases is the ability to visualize database content using charts,visualisation of database content / charts for databases,"When I keep structured data in a Confluence database, I want to chart it on the page, so my team sees a visual summary instead of raw rows.",Adopting Confluence Databases and losing the charting that worked with ordinary Confluence tables,Native charts rendered from database content inside Confluence,unknown,Charting regressed vs. classic Confluence tables,unknown,charting; reads Confluence database content,Needs read access to Confluence database content — a sandboxed static bundle has no authenticated API path to it,"Atlassian suggestion ticket CONFCLOUD-79584 ""Charts for Databases inside confluence""",Tracked as CONFCLOUD-79584; not shipped as of the observed discussion,Filed/backed a public Atlassian suggestion ticket,unknown,no,,qualified,,4,observed-in-search-snippet,J09,"Deployment recorded as cloud because Confluence Databases is a Cloud-only feature. Duplicate underlying request also seen at https://community.atlassian.com/forums/Confluence-questions/How-to-create-a-chart-from-a-database-page/qaq-p/2758337 whose answer noted third-party charting apps exist but ""none currently offer extensibility with Confluence Databases"" — deduped into this entry."
E-019,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-Databases-discussions/Feature-Request-Formulas-in-Confluence-Databases/td-p/2694711,Feature Request: Formulas in Confluence Databases,unknown,cloud,user,unknown,Knowledge manager / ops lead standardising on Confluence,feature_request,this formula feature is found in similar tools like Notion and Airtable,"formulas in databases, like Notion and Airtable","When my Confluence database holds dynamic data, I want formula/calculated fields, so I can keep Confluence as the source of truth instead of exporting to Notion or Airtable.",Hitting the limits of Confluence Databases (only sum/average/median) while modelling data that needs computed columns,"""keep Confluence as the source of truth for knowledge management for information that includes dynamic data"" rather than ""look to other tools""",Using other tools (Notion/Airtable) for the dynamic-data part,Confluence Databases support only simple aggregations,Editing/recalculating values in-page,computed fields; spreadsheet-like recalculation; persistent editable data,Needs write-back/persistence of user-entered data — a read-only static mini-site cannot store edits,Atlassian suggestion CONFCLOUD-78459 (math expressions and formulas in Confluence Databases),Tracked as CONFCLOUD-78459,Filed a public feature request; explicit Notion/Airtable substitution risk,unknown,no,,qualified,,4,observed-in-search-snippet,J09,Excerpt is the phrasing the search backend surfaced from the thread; direct body read blocked. Confirms the Notion-substitution framing explicitly.
E-020,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Will-there-be-a-Timeline-view-for-Database/qaq-p/2980754,Will there be a Timeline view for Database ?,unknown,cloud,user,unknown,Team lead planning work in Confluence,feature_request,"organize entries in time like Notion, Airtable, or similar solutions do",timeline view for database,"When my database rows have dates, I want a timeline/Gantt view on the page, so I can see schedule at a glance the way Notion or Airtable shows it.",Confluence Databases lacking a time-based view mode,A timeline view of database entries inside Confluence,unknown,View types available in Confluence Databases lag Notion/Airtable,"Switching views, zooming/panning a timeline",alternate view rendering (timeline/Gantt); reads database records,Needs access to Confluence database records; a static bundle would need the data supplied at publish time,unknown,unknown,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J09,Second independent Notion-parity request (with the formulas thread) — supports a 'Notion-like DB inside Confluence' demand cluster. Date not observed.
E-021,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Confluence-Cloud-Static-HTML-Content/qaq-p/2619230,Solved: Confluence Cloud - Static HTML Content,unknown,cloud,user,unknown,Developer/ISV integrating their reporting product with Confluence,question,generating HTML content corresponding to React components,static HTML content in Confluence Cloud,"When my product exports a report, I want to publish that generated HTML/React output onto a Confluence Cloud page, so users read the live report where they already work.",Building an export-to-Confluence feature and discovering the HTML macro is a legacy/unavailable feature on Cloud,Render generated multi-element HTML (React output) inside a Confluence Cloud page,Attempted the HTML macro; blocked because it is legacy and requires enabling / is unavailable on Cloud,HTML macro unavailable/legacy on Cloud,unknown,render arbitrary HTML/CSS/JS bundle; Confluence Cloud compatible; no admin HTML-macro enablement,None observed — this is the closest direct match to an upload-a-bundle mini-site product,"Thread answer: ""consider building an app for Confluence Cloud ... If you use Forge, it is based on React, which may fit your use case very well""",Marked Solved; steered toward building a Forge app,Was willing to build a Forge app themselves,unknown,no,D-08,qualified,,4,observed-in-search-snippet,J04,"Closest single artifact to the product hypothesis. Excerpt is the search-backend rendering of the asker's described attempt; body not directly readable (403). Author handle not visible in snippets, so candidate_lead left false despite strong workflow fit."
E-022,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Display-the-graphs-in-confluence-page-without-html-macro/qaq-p/2258050,Display the graphs in confluence page without html macro,unknown,unknown,user,unknown,Technical Confluence user / internal tools engineer,workaround,"converted to JavaScript using Chart.js macro, then rendering JavaScript to display the graph using macro html",display the graphs without html macro,"When the HTML macro is unavailable, I want another way to run my Chart.js visualisation on a Confluence page, so my existing graphs keep working.",Losing the HTML macro that their Chart.js rendering depended on,Same JS-rendered graphs on the page without the HTML macro,Chart.js output injected via the HTML macro,Existing JS-based charting pipeline broke without HTML macro,unknown,execute user-supplied JavaScript; chart library support (Chart.js),None observed — self-contained Chart.js is exactly a static-bundle workload,"Native Chart macro; Table Filter and Charts ""Chart from Table"" macro; Aura content-formatting macros",unknown,Already hand-built a JS charting pipeline,unknown,no,,qualified,,4,observed-in-search-snippet,J03,historical=true is an inference from thread-ID ordering (lower ID than 2024+ threads); actual date not observed.
E-023,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Using-iframe-macro-for-grafana-dashboard/qaq-p/2542828,Solved: Using iframe macro for grafana dashboard,unknown,unknown,user,unknown,SRE/DevOps engineer surfacing monitoring in the team wiki,question,Using iframe macro for grafana dashboard,iframe macro for grafana dashboard,"When my metrics live in Grafana, I want the dashboard visible on the Confluence page and refreshing, so my team reads current numbers in the wiki.",Grafana graphs embedded via iframe not showing refreshed updates on the Confluence page,A Grafana dashboard that renders and refreshes inside the page,iframe/HTML macro pointing at the Grafana dashboard URL,Refresh updates not appearing; framing blocked by response headers,Grafana's own time-range/filter controls,frames external origin; periodic refresh,Requires a live external data source (Grafana) and cross-origin framing — an isolated uploaded bundle does not solve this class,"Thread guidance: check X-Frame-Options; if DENY ""you will have to get Grafana to change their application so it supports iframes""","Marked Solved via header diagnosis, not a product",unknown,unknown,no,D-09,qualified,,4,observed-in-search-snippet,J08,"Recorded partly as a scoping boundary: this demand cluster is 'embed a live external BI tool', which a sandboxed static mini-site does not serve. Excerpt is the thread title."
E-024,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Embed-a-Power-BI-report-into-using-iframe-it-s-not-embedding-it-s-inert-just-a-screenshot/qaq-p/2044442,"Embed a Power BI report into using iframe, it's not embedding, it's inert - just a screenshot.",unknown,unknown,user,unknown,BI/reporting owner publishing to a wider Confluence audience,complaint,"it's not embedding, it's inert - just a screenshot",it's inert - just a screenshot,"When I put a Power BI report on a Confluence page, I want it to stay interactive, so readers can filter and explore instead of staring at a picture.",Embedding a Power BI report and getting a non-interactive rendering,A genuinely interactive embedded report,iframe embed of the Power BI report,Embed degrades to a static image — the core 'live vs. screenshot' complaint,"Filtering, slicing, drill-down inside the report",interactive embed; preserves report controls,"Underlying data lives in Power BI (authenticated); the interactivity complaint transfers, the data source does not",Publish-to-web link used as a Smart Link (per related threads),unknown,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J08,Excerpt is user-authored (thread title) and is the sharpest verbatim for the 'inline but dead' pain. historical=true inferred from thread-ID ordering; date not observed. Sibling thread: https://community.atlassian.com/forums/Confluence-questions/Dispaly-Power-BI-Dashboard-in-Confluence/qaq-p/2579924
